index,id,Title,danceability,energy,mode,acousticness,tempo,Duration_ms,Num_sections,Num_segments
0,5vYA1mW9g2Coh1HUFUSmlb,3AM,0.521,0.673,1,0.00573,108.031,225947,8,830
1,2klCjJcucgGQysgH170npL,4 Walls,0.735,0.849,0,0.212,125.972,207477,7,999
2,093PI3mdUvOSlvMYDwnV1e,11:11,0.445,0.528,1,0.677,203.155,223452,12,776
3,64yrDBpcdwEdNY9loyEGbX,21 Guns,0.268,0.742,1,0.0518,159.779,321093,9,837
4,2jiI8bNSDu7UxTtDCOqh3L,21,0.68,0.724,0,0.163,109.974,207130,9,759
5,7kcCB7oh6X4bSoFCvrHLvG,24/7,0.762,0.594,1,0.1,98.025,243324,10,908
6,6b8Be6ljOzmkOmFslEb23P,24K Magic,0.818,0.803,1,0.034,106.97,225983,9,966
7,38td8VabuKlQt72Q2VnhbO,134340,0.664,0.688,0,0.153,106.022,230063,8,950
8,60ONwBU0GgM3kJhPEOhTx0,About The Distance,0.688,0.177,0,0.454,79.994,192000,9,682
9,3MtxiqrTNRwtj9EIVDjRSU,Afterlife,0.46,0.622,0,0.0904,88.03,364091,14,994
10,7nT4rMprxiA9H9HM3oZ1Kq,Again,0.614,0.547,0,0.767,92.99,172000,8,698
11,1trFxVLL8WKhYap543e74l,Airplane pt.2,0.769,0.817,0,0.0268,139.979,218615,10,921
12,2UM6b78kBrge7Esaoz93kk,Alejandro,0.623,0.793,0,0.000397,98.998,274213,9,1137
13,74HHgWX80N5YfZpvEQOUov,Alive,0.331,0.837,0,0.00259,117.963,206427,8,770
14,6jLsYKGOBRBRvdowIzuyUf,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],0.4,0.724,1,0.375,96.782,216786,9,951
15,3GdvlmQ8GgfFokp1hpdRJ2,All Mine,0.585,0.85,1,0.176,127.974,203857,10,820
16,1UwERmn5UogyCz6qo21BmA,All Night,0.777,0.807,0,0.0308,129.984,222894,9,902
17,2FG7k4aaCUjXX6NpCkCpgC,All Night Long,0.758,0.686,0,0.0234,89.019,222693,11,825
18,76ui6kPzjm2vKODEIOZMXK,All the People,0.678,0.245,1,0.859,84.919,172235,6,524
19,5XRHGXut00SrJUFmcn2lQF,All The Right Moves,0.53,0.95,1,0.284,146.035,238000,11,903
20,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),0.698,0.633,1,0.0605,96.924,232187,12,976
21,6tBdTwcyyGq1HU3PXgZK82,All The Things She Said,0.604,0.831,0,0.0359,89.994,214440,7,928
22,5TdKQtQXE6lPJfYhi59lAZ,All Us,0.439,0.291,0,0.0244,39.97,129000,5,570
23,3pGNBm0zULLn7K9Vvxjjz1,Almost Home,0.382,0.0682,1,0.874,84.451,169187,5,538
24,7svJ308NOS6EMHd7D1YZnw,amber,0.928,0.305,0,0.424,133.98,117761,5,520
25,6nTiIhLmQ3FWhvrGafw2zj,American Idiot,0.38,0.988,1,2.64e-05,186.113,176346,9,729
26,3wBIDJLDvo0h0u1mKU9Bm6,Amsterdam,0.516,0.768,1,0.00852,115.005,241427,10,770
27,0Yz3F0UGDibDe8uU69zmjn,And July (feat. DEAN & DJ Friz),0.735,0.852,1,0.0401,98.494,226128,13,844
28,5s8TNhF23nv2Pumf0JTe2i,Animals,0.279,0.742,0,0.000185,189.868,231013,11,921
29,393Zq7DKr6IxkmJp5bRe6j,anything in the world,0.657,0.564,1,0.724,140.035,116492,5,442
30,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,0.786,0.853,1,0.0688,125.034,213264,9,781
31,1tjC7aF6ixOCqZxJtIO8dz,Automatic,0.598,0.604,0,0.0996,179.938,210160,10,880
32,27lhifdMn6erYRxLq1lrxA,Awakening,0.746,0.217,0,0.843,160.135,114000,4,449
33,1EYSS9Lp7a9f20C3FaOVgI,Baby Don’t Stop,0.827,0.739,1,0.0214,95.999,183020,9,796
34,4O0vUrKu4zu5cgnfOvli0B,Babyyy,0.621,0.364,1,0.656,82.014,126440,3,572
35,64XSAtXpCJUmadm3fkpH4z,Back 2 Good,0.559,0.504,1,0.106,89.051,340173,19,1097
36,2kGMGxlrbOLhRzGQISekBZ,Back Home,0.705,0.234,1,0.819,86.02,159125,8,588
37,5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,0.714,0.736,1,0.191,149.985,210818,10,833
38,6MjiVEJy1YVuJNFu72OH61,Bad Romance,0.695,0.919,1,0.00264,119.002,294640,12,1115
39,0QIRm9sUkGnezGznkWCqCo,BANG BANG BANG,0.694,0.832,0,0.0192,135.011,220238,10,874
40,6L89mwZXSOwYl76YXfX13s,Basket Case,0.442,0.943,1,0.00293,85.064,181533,3,657
41,3pM8P070gawGMIK7TTFgW1,Bastia,0.621,0.249,0,0.862,84.991,160941,5,583
42,4as4XEOR03oGm1STUKl6pa,BBIBBI,0.839,0.617,1,0.241,143.894,194426,6,759
43,3AcNJMYU4v7mr1DEWEWGmh,Be Natural (feat. SR14B 'TAEYONG (태용)'),0.58,0.868,0,0.123,178.002,280451,12,1181
44,4pWawf1Rq4qHDv4Ktqjg2D,Beautiful Creatures (feat. MAX),0.589,0.826,0,0.0663,117.099,240508,12,916
45,1VuBmEauSZywQVtqbxNqka,Beautiful Day,0.537,0.921,1,0.0144,136.264,248067,6,931
46,5EuAj9nZiWRKeBkgxMXsW4,Beautiful Girls,0.745,0.666,1,0.159,129.995,241933,11,956
47,05KfyCEE6otdlT1pp2VIjP,Believer,0.772,0.775,0,0.0417,124.978,203782,10,755
48,6fA7akEuTUL3dW1V0GELaZ,Bent,0.518,0.83,0,0.0404,95.468,256133,9,917
49,6Xk7PnitV9jCRorWt2LiVZ,Berzerk,0.739,0.872,0,0.0217,95.084,238746,11,996
50,5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,0.673,0.902,1,0.0629,100.016,194240,8,725
51,2tdq0CeAGSfhI2l4Gwkvgx,Best Of Me,0.651,0.756,1,0.0298,121.96,227191,10,842
52,5FZxsHWIvUsmSK1IAvm2pp,Best of You,0.366,0.94,0,0.000769,130.198,255627,10,865
53,4T3fNx3CgwDRRYgmFCbD4J,Better,0.442,0.585,0,0.0984,97.565,229413,9,800
54,07nH4ifBxUB4lZcsf44Brn,Blame,0.413,0.856,0,0.0289,128.017,212960,10,824
55,1p80LdxRV74UKvL8gnD7ky,Blank Space,0.752,0.678,1,0.085,96.009,231827,10,856
56,0uNKf8j4cNI1DLWpps877e,blankets,0.61,0.147,0,0.936,79.954,174000,7,538
57,6LtPIXlIzPOTF8vTecYjRe,Bleeding Love,0.635,0.647,1,0.192,104.054,262693,14,946
58,2auTfKFcoQd7z2uFCeuaww,Bleeding Out,0.299,0.754,0,0.0195,169.373,221053,10,708
59,0oSNOJEcBIKNcQzRc5TfyR,Blood Sweat & Tears,0.585,0.887,0,0.0244,92.971,217079,11,850
60,7DjtkwBT1F9Pod8SggSvJf,Blue,0.69,0.245,1,0.406,80.027,123042,4,504
61,0gb636CX4wHmcgqV0ydKdm,BODY,0.769,0.624,0,0.146,100.021,209760,10,888
62,0NeNAcCVtGqLAAmf4FhWWT,BOOMBAYAH,0.658,0.836,0,0.00264,124.969,240849,9,901
63,38xWaVFKaxZlMFvzNff2aW,Breakeven,0.63,0.698,1,0.173,94.023,261427,10,935
64,2TYfPBSXeAJQgP1CpkXDUP,Breaking Down,0.58,0.72,1,0.155,109.972,229067,13,739
65,4FDdBqOTzfWfuDfODCOply,Breathe Again,0.625,0.93,1,0.0498,150.05,192000,8,760
66,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,0.316,0.945,0,0.00895,189.931,235893,12,771
67,4z9gBZQjGS4QLb4LOvmeuA,Burning Up (Fire),0.627,0.706,0,0.00227,99.93,203352,12,789
68,3kOtrXdDW7zkcLP5IrMmDc,By The Shore,0.834,0.256,0,0.642,88.944,194164,9,687
69,2ftBcyzDa2REbBy7pMfbTT,Bye Babe,0.915,0.464,1,0.128,106.034,198256,11,753
70,2yiZyjMEByt9sJBZWnWaDR,Bye Bye Bye,0.571,0.87,0,0.0198,172.716,199640,9,816
71,4jdiqVbH1eUwc4MzDV7GMu,CALL ME BABY,0.692,0.886,1,0.284,100.03,211013,8,871
72,65Wn0KpbPXTVLNQNEMtK1j,Call On Me - Radio Edit,0.597,0.837,1,0.00427,126.342,171360,10,644
73,6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,0.662,0.705,0,0.0392,159.996,250080,10,894
74,10FP9hm2aFfAIKEopqaG9D,Can't Fight The Moonlight,0.628,0.834,0,0.403,97.865,215507,9,736
75,42CeaId2XNlxugDvyqHfDf,Candy Paint,0.765,0.688,1,0.633,90.013,229573,10,875
76,1R6amI33Kxxbxnas1ictrD,Capitano (Instrumental Version),0.4,0.259,0,0.92,245.327,177946,8,768
77,3yM1SaSngFZCla4gOOUn2a,Car Radio,0.479,0.452,0,0.65,52.294,162016,8,607
78,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,0.461,0.834,1,0.0232,135.007,261154,12,914
79,7Bka7BItYbiCQOSbJNx0ni,Cataclysm,0.509,0.867,1,0.0113,140.028,300000,13,1190
80,10VuRG4YCjIDFxTliN02MP,Catch Me If You Can - Korean Version,0.714,0.852,0,0.0154,133.989,225173,14,887
81,69gdXYtXQEX9xNeEto8K0q,Cause,0.679,0.45,1,0.748,80.075,110071,6,409
82,1uDhHTNIBF5BJQWTjKnCoa,Celebration Song,0.393,0.959,1,4e-05,185.226,219382,11,712
83,2CvcVMkyBhXHD9d0QIpw4X,Chaos,0.809,0.581,0,0.0115,149.949,132038,5,591
84,7zC7nXQPpj7oVeboU5lYOP,Chariots,0.257,0.973,1,0.000125,129.051,276587,10,980
85,0rpIH5otu7ykvZPdcQuRPh,Chasing Cars,0.556,0.595,1,0.214,104.001,266347,15,816
86,1D7e4LrjdB4mKaI9XYrmPY,CHEER UP,0.548,0.885,1,0.139,172.946,208862,11,785
87,28PYwyQETvCDNXMRBFAtzr,Choke,0.652,0.403,0,0.871,140.012,180000,7,444
88,5DPOA0BfvqhGuiuosDgzMN,Christmas Chill,0.638,0.0703,1,0.318,77.366,125067,6,419
89,0mBKv9DkYfQHjdMcw2jdyI,Chunky,0.571,0.539,0,0.0208,202.103,186973,7,715
90,14p5EKgbPx4U3P1j5JNHeh,"Cigarette (Feat. Tablo, MISO)",0.776,0.392,0,0.271,87.98,241765,14,896
91,4ao9bdN6ozxdlQ9j2rGDFy,City Of Blinding Lights,0.447,0.768,1,0.000264,139.23,347867,18,1164
92,0KcV1EQdppMZe78MGT6wBn,clay castle ruins,0.775,0.337,1,0.868,138.016,139139,7,595
93,0BCPKOYdS2jbQ8iyB56Zns,Clocks,0.577,0.749,0,0.599,130.969,307880,13,1033
